City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,12.66,few clouds
271,Itupiranga,BR,-5.1347,-49.3267,79.12,82,4,2.89,clear sky
272,Akhmim,EG,26.5622,31.745,73.6,32,69,12.77,broken clouds
273,Dunedin,NZ,-45.8742,170.5036,53.8,69,100,4.0,overcast clouds
274,Kurilsk,RU,45.2333,147.8833,47.25,60,97,22.86,overcast clouds
275,Husavik,IS,66.0449,-17.3389,32.18,78,44,11.3,scattered clouds
276,Goba,ET,7.0167,39.9833,60.58,62,35,6.24,light rain
277,Danielskuil,ZA,-28.1887,23.5395,76.73,33,29,14.85,scattered clouds
278,Boende,CD,-0.2167,20.8667,76.37,88,100,2.62,moderate rain
279,Bakel,SN,14.905,-12.4568,83.37,60,99,6.13,overcast clouds
280,Dingle,PH,10.9995,122.6711,82.31,82,89,7.09,overcast clouds
281,Mnogovershinnyy,RU,53.9353,139.9242,31.64,77,72,13.31,broken clouds
282,Waingapu,ID,-9.6567,120.2641,83.98,70,81,6.35,broken clouds
283,Khani,GE,41.9563,42.9566,63.97,40,100,5.93,overcast clouds
284,Port Blair,IN,11.6667,92.75,82.44,78,100,9.22,mist
285,Bubaque,GW,11.2833,-15.8333,80.69,77,97,3.53,overcast clouds
286,Eyl,SO,7.9803,49.8164,87.13,57,21,13.6,few clouds
287,Clyde River,CA,70.4692,-68.5914,12.43,73,0,11.5,clear sky
288,Gamba,GA,-2.65,10.0,79.72,78,100,6.71,light rain
289,Tessalit,ML,20.1986,1.0114,83.66,21,94,14.5,overcast clouds
290,Srednekolymsk,RU,67.45,153.6833,12.25,84,100,19.89,overcast clouds
291,Pita,GN,10.8333,-12.5833,74.39,86,11,1.88,few clouds
292,Marquette,US,46.5333,-87.6335,35.33,84,100,14.23,light snow
293,Veere,NL,51.5483,3.6667,53.58,87,80,13.8,broken clouds
294,Naron,ES,43.5167,-8.1528,63.45,89,100,18.9,overcast clouds
295,Kruisfontein,ZA,-34.0033,24.7314,78.89,46,17,6.26,few clouds
296,Mlonggo,ID,-6.5333,110.7,81.99,75,100,3.15,light rain
297,Martapura,ID,-3.4167,114.85,87.89,70,40,4.61,scattered clouds
298,Kotelnikovo,RU,47.6317,43.1461,61.79,37,10,11.54,clear sky
299,Aswan,EG,24.0934,32.907,81.7,32,0,9.22,clear sky
300,Ardakan,IR,32.31,54.0175,76.35,27,8,4.97,clear sky
301,Russell,US,32.3502,-85.1999,41.0,59,0,5.88,clear sky
302,Arraial Do Cabo,BR,-22.9661,-42.0278,71.24,92,95,20.89,light rain
303,Axim,GH,4.8699,-2.2405,79.9,77,25,3.24,scattered clouds
304,Tazovskiy,RU,67.4667,78.7,36.82,95,100,17.54,overcast clouds
305,Thinadhoo,MV,0.5333,72.9333,81.28,72,100,10.38,overcast clouds
306,Yamada,JP,39.4667,141.95,51.96,62,6,5.1,clear sky
307,Kirsanov,RU,52.6549,42.7224,53.2,70,100,14.27,overcast clouds
308,Bambanglipuro,ID,-7.95,110.2833,79.45,82,100,7.0,light rain
309,Xingyi,CN,24.1877,102.817,65.89,37,8,3.31,clear sky
310,Kloulklubed,PW,7.0419,134.2556,84.74,75,75,13.38,broken clouds
311,Tingo Maria,PE,-9.2895,-76.0088,67.12,97,96,1.52,moderate rain
312,Canton,CN,23.1167,113.25,78.75,23,100,11.16,overcast clouds
313,Wasaga Beach,CA,44.5168,-80.0164,38.8,95,99,3.33,overcast clouds
314,Songjianghe,CN,42.1859,127.479,42.57,52,5,6.38,clear sky
315,Gobabis,NA,-22.45,18.9667,76.42,36,16,17.18,few clouds
316,Isangel,VU,-19.55,169.2667,74.93,81,100,12.48,overcast clouds
317,Huarmey,PE,-10.0681,-78.1522,60.6,89,100,8.23,overcast clouds
318,Boguchany,RU,58.3814,97.4531,36.84,88,100,3.71,overcast clouds
319,Ambon,ID,-3.6954,128.1814,87.94,70,20,4.61,few clouds
320,Rocha,UY,-34.4833,-54.3333,59.04,94,100,8.12,overcast clouds
321,Jambi,ID,-1.6,103.6167,82.06,86,100,3.02,overcast clouds
322,Esperance,AU,-33.8667,121.9,71.28,53,0,12.46,clear sky
323,Broome,US,42.2506,-75.833,35.01,83,9,4.0,clear sky
324,Amanganj,IN,24.4333,80.0333,84.34,38,0,4.88,clear sky
325,Darovskoy,RU,58.77,47.9564,41.36,75,100,5.64,overcast clouds
326,Melfort,CA,52.8667,-104.6177,48.33,53,2,8.05,clear sky
327,Quatre Cocos,MU,-20.2078,57.7625,77.11,60,100,14.83,overcast clouds
328,Shipunovo,RU,52.1582,82.2173,49.42,40,26,13.15,scattered clouds
