City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
244,Fortuna,US,2022-10-15 06:01:48,40.5982,-124.1573,48.54,100,100,0.0
245,Grand Gaube,MU,2022-10-15 06:01:49,-20.0064,57.6608,77.4,66,12,11.01
246,Sitka,US,2022-10-15 06:01:49,57.0531,-135.33,50.83,92,100,7.27
247,Kyshtovka,RU,2022-10-15 06:01:49,56.555,76.6271,45.9,51,84,8.7
248,Petauke,ZM,2022-10-15 06:01:50,-14.2426,31.3253,78.21,22,1,9.91
249,Atar,MR,2022-10-15 06:01:50,20.5169,-13.0499,84.52,30,56,3.62
250,Los Llanos De Aridane,ES,2022-10-15 06:01:50,28.6585,-17.9182,67.75,82,75,12.66
251,Mar Del Plata,AR,2022-10-15 05:57:23,-38.0023,-57.5575,46.09,93,0,1.01
252,Lahat,ID,2022-10-15 06:01:51,-3.8,103.5333,88.09,65,89,0.74
253,Lusambo,CD,2022-10-15 05:59:12,-4.9667,23.45,79.36,65,85,3.78
254,La Curva,PH,2022-10-15 06:01:51,12.4048,121.0459,83.77,76,71,15.57
255,Iqaluit,CA,2022-10-15 06:01:52,63.7506,-68.5145,29.93,100,100,16.11
256,Poya,NC,2022-10-15 05:54:59,-21.35,165.15,74.14,60,40,9.08
257,Airai,TL,2022-10-15 05:57:28,-8.9266,125.4092,73.18,59,99,3.69
258,Amberieu-En-Bugey,FR,2022-10-15 06:01:52,45.9589,5.3432,57.7,93,32,4.83
259,Barvinkove,UA,2022-10-15 06:01:53,48.9097,37.0205,43.79,65,1,8.08
260,Honiara,SB,2022-10-15 06:01:53,-9.4333,159.95,81.09,79,99,0.89
261,Atambua,ID,2022-10-15 06:01:53,-9.1061,124.8925,85.98,56,86,1.83
262,Sola,VU,2022-10-15 06:01:54,-13.8833,167.55,80.17,75,97,14.92
263,Pacific Grove,US,2022-10-15 06:01:54,36.6177,-121.9166,57.02,92,81,3.0
264,Belyy,RU,2022-10-15 06:01:54,55.8402,32.9419,39.9,84,100,5.7
265,Amapa,BR,2022-10-15 06:01:55,1.0,-52.0,69.64,99,20,1.07
266,Hami,CN,2022-10-15 06:01:55,42.8,93.45,65.03,21,19,2.39
267,Tual,ID,2022-10-15 06:01:55,-5.6667,132.75,84.09,68,100,5.79
268,Nyurba,RU,2022-10-15 06:01:56,63.2842,118.3319,29.82,74,98,5.57
269,Hualmay,PE,2022-10-15 06:01:56,-11.0964,-77.6139,60.39,86,1,9.48
270,Lakatoro,VU,2022-10-15 06:01:56,-16.0999,167.4164,78.37,71,49,8.84
271,Ribeira Grande,PT,2022-10-15 05:58:31,38.5167,-28.7,64.78,77,91,7.0
272,Vao,NC,2022-10-15 05:56:22,-22.6667,167.4833,69.39,61,2,10.76
273,Honningsvag,NO,2022-10-15 06:01:57,70.9821,25.9704,40.75,81,75,8.05
274,Ystad,SE,2022-10-15 06:01:57,55.4297,13.8204,54.37,96,99,15.68
275,Nyazepetrovsk,RU,2022-10-15 06:01:57,56.0531,59.6028,43.09,84,98,6.31
276,Axim,GH,2022-10-15 06:01:58,4.8699,-2.2405,75.65,87,98,7.09
277,Makrana,IN,2022-10-15 06:02:13,27.05,74.7167,86.83,20,0,1.92
278,Kutum,SD,2022-10-15 06:02:14,14.2,24.6667,74.82,26,34,10.56
279,Zhicheng,CN,2022-10-15 06:02:14,30.2956,111.5047,81.19,35,6,7.25
280,Papara,BR,2022-10-15 06:02:14,-3.9839,-38.7273,77.4,92,22,4.83
281,Alto Araguaia,BR,2022-10-15 06:02:15,-17.3147,-53.2153,70.61,44,22,4.34
282,Bacolod,PH,2022-10-15 06:02:15,10.6667,122.95,84.83,75,60,15.95
283,Sandakan,MY,2022-10-15 06:02:16,5.8402,118.1179,90.18,56,45,3.53
284,Mount Gambier,AU,2022-10-15 06:02:16,-37.8333,140.7667,57.34,69,95,6.93
285,Shieli,KZ,2022-10-15 06:02:16,44.1667,66.75,64.81,33,79,12.01
286,Talnakh,RU,2022-10-15 06:02:17,69.4865,88.3972,33.21,100,100,8.28
287,Lata,PT,2022-10-15 06:02:17,40.1629,-8.3327,56.91,96,9,2.06
288,Te Anau,NZ,2022-10-15 06:02:18,-45.4167,167.7167,57.31,65,39,5.08
289,Sabinas Hidalgo,MX,2022-10-15 06:02:18,26.5,-100.1667,73.18,76,6,5.79
290,Paamiut,GL,2022-10-15 06:02:18,61.994,-49.6678,34.5,65,29,23.38
291,Ojuelos De Jalisco,MX,2022-10-15 06:02:19,21.8667,-101.5833,56.98,77,36,6.49
292,Cerrito,CO,2022-10-15 06:02:19,6.8432,-72.694,50.09,89,47,4.16
293,Praia Da Vitoria,PT,2022-10-15 06:02:19,38.7333,-27.0667,64.76,77,95,9.37
